Machine_ID,Week_Start_Date,Scheduled_Hours,Actual_Uptime_Hours,Uptime_Percentage,Downtime_Reason,Downtime_Duration,Maintenance_Type,Machine_Location,Machine_Model,Operator_Shift,Last_Maintenance_Date,Number_of_Breakdowns,MTBF_Hours,MTTR_Hours,Energy_Consumption_kWh,Output_Quantity,Fixed_Cost_Per_Hour,Variable_Cost_Per_Unit,Energy_Cost_Per_kWh,Maintenance_Parts_Cost,Labor_Cost,Reject_Quantity,Cycle_Time_Per_Unit(hr),Setup_Time,Utilization_Rate,Breakdown_Type,Parts_Replaced,Maintenance_Cost_Type,Quantity_Sold,Fixed_Cost_Per_Unit,Head_On_Cost_Per_Unit,Operator_Shift.1,Selling_Price_Per_Unit,Fixed_Cost,Variable_Cost,Base_Cost,Head_On_Cost,Total_Cost_Per_Unit,Total_Revenue,DownTime_Time_Cost_hr,DownTime_Cost,Profit_margin(%),Net_Profit
MCH001,2025-05-13 00:00:00,168,159.68,95.05,,8.32,Scheduled,Plant B,TX-200,Night,2025-04-19 00:00:00,2,79.84,2.62,3823.25,1714,60,13.84848789,0.12,1480,3193.6,6,0.093162194,2.562531508,95.04761905,Other,Misc Part,Corrective,1708,5.880980163,3.683210473,Night,29.07085097,10080,23736.30824,33816.30824,6313.02275,24.14079988,49827.43856,150,1248,16.95874364,8450.107565
MCH002,2025-05-13 00:00:00,168,134.57,80.1,Electrical Fault,33.43,Unscheduled,Plant A,TX-200,Night,2025-05-02 00:00:00,3,44.86,4.55,3149.95,1366,60,10.43787544,0.12,1983,2691.4,17,0.098513909,3.019910818,80.10119048,Electrical,Capacitor,Corrective,1349,7.37920937,2.760630213,Night,23.29313591,10080,14258.13785,24338.13785,3771.020871,24.24865207,31818.42365,150,5014.5,-4.102136184,-1305.23507
MCH003,2025-05-13 00:00:00,168,124.21,73.93,,43.79,Scheduled,Plant C,TX-300,Evening,2025-04-21 00:00:00,4,31.05,2.66,2531.18,1270,70,13.57791972,0.12,1334,2484.2,14,0.09780315,2.562531508,73.93452381,Mechanical,"Bearing, Gear",Preventive,1256,9.25984252,3.656281163,Evening,28.06219311,11760,17243.95805,29003.95805,4643.477077,31.66609065,35638.98525,150,6568.5,-12.84253704,-4576.94988
MCH004,2025-05-13 00:00:00,168,128.59,76.54,,39.41,Scheduled,Plant B,TX-300,Night,2025-05-06 00:00:00,2,64.3,2.79,3132.11,1329,70,13.96590134,0.12,1541,2571.8,7,0.09675696,2.941032123,76.54166667,Mechanical,"Belt, Shaft",Corrective,1322,8.848758465,3.920946832,Night,31.11662896,11760,18560.68288,30320.68288,5210.93834,31.1836879,41353.99988,150,5911.5,-0.215508387,-89.12133801
MCH005,2025-05-13 00:00:00,168,145.22,86.44,,22.78,Scheduled,Plant A,TX-300,Evening,2025-04-12 00:00:00,4,36.3,1.62,3423.11,1631,70,10.2460681,0.12,1758,2904.4,7,0.0890374,1.624682725,86.44047619,Software,PLC Module,Preventive,1624,7.210300429,2.74956638,Evening,21.84988671,11760,16711.33708,28471.33708,4484.542766,22.30096864,35637.16523,150,3417,-2.064458868,-735.7146178
MCH006,2025-05-13 00:00:00,168,122.95,73.19,Electrical Fault,45.05,Emergency,Plant A,TX-200,Evening,2025-05-02 00:00:00,3,40.98,1.71,2674.95,1615,60,13.53162508,0.12,1105,2459,9,0.076130031,1.795478184,73.18452381,Mechanical,Shaft,Preventive,1606,6.241486068,3.656476439,Evening,29.16764142,10080,21853.5745,31933.5745,5905.209449,27.61379811,47105.74089,150,6757.5,5.327284724,2509.456938
MCH007,2025-05-13 00:00:00,168,136.44,81.21,Electrical Fault,31.56,Emergency,Plant A,TX-300,Evening,2025-04-21 00:00:00,1,136.44,1.56,2897.92,1953,70,12.06431608,0.12,1562,2728.8,9,0.069861751,1.766233857,81.21428571,Electrical,Fuse,Corrective,1944,6.021505376,3.562858007,Evening,28.48391351,11760,23561.60931,35321.60931,6958.261687,24.0726426,55629.08308,150,4734,15.48688494,8615.212089
MCH008,2025-05-13 00:00:00,168,165.67,98.62,Electrical Fault,2.33,Scheduled,Plant B,TX-300,Evening,2025-05-03 00:00:00,4,41.42,2.88,4034.79,1831,70,13.62605488,0.12,1080,3313.4,6,0.090480612,2.874331011,98.61309524,Electrical,Capacitor,Preventive,1825,6.422719825,3.210360833,Evening,26.67951181,11760,24949.30648,36709.30648,5878.170685,23.45001484,48850.18612,150,349.5,12.10478285,5913.208951
MCH009,2025-05-13 00:00:00,168,166.37,99.03,Power Outage,1.63,Scheduled,Plant B,TX-200,Morning,2025-04-22 00:00:00,5,33.27,2.39,3674.35,2211,60,12.28527577,0.12,1132,3327.4,16,0.075246495,3.188881345,99.0297619,Software,"HMI Panel, PLC Module",Corrective,2195,4.559023066,2.586880691,Morning,24.04587905,10080,27162.74472,37242.74472,5719.593207,19.54176297,53165.43857,150,244.5,18.73134298,9958.600645
MCH010,2025-05-13 00:00:00,168,149.08,88.74,Preventive Maintenance,18.92,Unscheduled,Plant C,TX-200,Night,2025-03-30 00:00:00,0,69.50297872,3.105957447,3598.53,2226,60,12.64844804,0.12,1796,2981.6,14,0.066972147,2.999232464,88.73809524,Electrical,"Relay, Capacitor",Preventive,2212,4.528301887,2.612041627,Night,27.66179235,10080,28155.44534,38235.44534,5814.404661,21.06372417,61575.14976,150,2838,23.85264156,14687.29977
MCH011,2025-05-13 00:00:00,168,169.79,95,Preventive Maintenance,-1.79,Scheduled,Plant A,TX-300,Morning,2025-05-04 00:00:00,3,56.6,1.35,4000,2200,70,12.17511563,0.12,1899,3395.8,17,0.077177273,1.560944305,101.0654762,Other,"Misc Part, Valve",Corrective,2183,5.345454545,3.778621989,Morning,25.8075803,11760,26785.25439,38545.25439,8312.968375,21.17714671,56776.67665,150,-268.5,17.94214541,10186.95389
MCH012,2025-05-13 00:00:00,168,168.73,97,Power Outage,-0.73,Scheduled,Plant C,TX-200,Evening,2025-05-03 00:00:00,3,168.73,3.62,3384.47,2300,60,13.45797152,0.12,1137,3374.6,10,0.07336087,3.234429962,100.4345238,Electrical,"Fuse, Capacitor",Corrective,2290,4.382608696,3.985222559,Evening,29.96226933,10080,30953.3345,41033.3345,9166.011886,21.77819408,68913.21945,150,-109.5,27.3146041,18823.37307
