Machine_ID,Week_Start_Date,Scheduled_Hours,Actual_Uptime_Hours,Uptime_Percentage,Downtime_Reason,Downtime_Duration,Maintenance_Type,Machine_Location,Machine_Model,Operator_Shift,Last_Maintenance_Date,Number_of_Breakdowns,MTBF_Hours,MTTR_Hours,Energy_Consumption_kWh,Output_Quantity
MCH001,2025-05-13,168,159.68,95.05,N/A,8.32,Scheduled,Plant B,TX-200,Night,2025-04-19,2,79.84,2.62,3823.25,1714
MCH002,2025-05-13,168,134.57,80.1,Electrical Fault,33.43,Unscheduled,Plant A,TX-200,Night,2025-05-02,3,44.86,4.55,3149.95,1366
MCH003,2025-05-13,168,124.21,73.93,N/A,43.79,Scheduled,Plant C,TX-300,Evening,2025-04-21,4,31.05,2.66,2531.18,1270
MCH004,2025-05-13,168,128.59,76.54,N/A,39.41,Scheduled,Plant B,TX-300,Night,2025-05-06,2,64.3,2.79,3132.11,1329
MCH005,2025-05-13,168,145.22,86.44,N/A,22.78,Scheduled,Plant A,TX-300,Evening,2025-04-12,4,36.3,1.62,3423.11,1631
MCH006,2025-05-13,168,122.95,73.19,Electrical Fault,45.05,Emergency,Plant A,TX-200,Evening,2025-05-02,3,40.98,1.71,2674.95,1615
MCH007,2025-05-13,168,136.44,81.21,Electrical Fault,31.56,Emergency,Plant A,TX-300,Evening,2025-04-21,1,136.44,1.56,2897.92,1953
MCH008,2025-05-13,168,165.67,98.62,Electrical Fault,2.33,Scheduled,Plant B,TX-300,Evening,2025-05-03,4,41.42,2.88,4034.79,1831
MCH009,2025-05-13,168,166.37,99.03,Power Outage,1.63,Scheduled,Plant B,TX-200,Morning,2025-04-22,5,33.27,2.39,3674.35,2211
MCH010,2025-05-13,168,149.08,88.74,Preventive Maintenance,18.92,Unscheduled,Plant C,TX-200,Night,2025-03-30,0,,,3598.53,2226
MCH011,2025-05-13,168,169.79,101.07,Preventive Maintenance,-1.79,Scheduled,Plant A,TX-300,Morning,2025-05-04,3,56.6,1.35,3522.66,2405
MCH012,2025-05-13,168,168.73,100.44,Power Outage,-0.73,Scheduled,Plant C,TX-200,Evening,2025-05-03,1,168.73,3.62,3384.47,2138
MCH013,2025-05-13,168,155.35,92.47,Preventive Maintenance,12.65,Scheduled,Plant B,TX-100,Night,2025-04-15,2,77.67,3.25,3724.87,1674
MCH014,2025-05-13,168,148.2,88.22,Gearbox Failure,19.8,Emergency,Plant C,TX-200,Morning,2025-04-16,0,,,3070.37,2070
MCH015,2025-05-13,168,153.98,91.66,Power Outage,14.02,Emergency,Plant C,TX-100,Morning,2025-04-18,3,51.33,2.26,3796.76,1652
MCH016,2025-05-13,168,134.21,79.89,Preventive Maintenance,33.79,Emergency,Plant C,TX-100,Evening,2025-04-12,2,67.11,4.32,3100.3,1727
MCH017,2025-05-13,168,150.68,89.69,Power Outage,17.32,Unscheduled,Plant C,TX-100,Night,2025-03-21,2,75.34,4.55,3104.93,2247
MCH018,2025-05-13,168,143.0,85.12,Power Outage,25.0,Scheduled,Plant A,TX-200,Evening,2025-04-24,2,71.5,1.31,3190.32,2107
MCH019,2025-05-13,168,139.04,82.76,Preventive Maintenance,28.96,Scheduled,Plant B,TX-300,Morning,2025-04-23,3,46.35,2.16,2935.29,1881
MCH020,2025-05-13,168,136.23,81.09,Gearbox Failure,31.77,Scheduled,Plant A,TX-200,Morning,2025-04-17,1,136.23,2.48,3211.89,1912
MCH021,2025-05-13,168,132.84,79.07,Preventive Maintenance,35.16,Emergency,Plant B,TX-200,Evening,2025-04-26,5,26.57,2.86,3093.13,1711
MCH022,2025-05-13,168,146.22,87.04,Power Outage,21.78,Emergency,Plant A,TX-100,Night,2025-03-27,2,73.11,3.41,3379.29,1611
MCH023,2025-05-13,168,160.82,95.72,N/A,7.18,Unscheduled,Plant B,TX-100,Night,2025-05-01,4,40.2,2.87,3746.52,1691
MCH024,2025-05-13,168,122.0,72.62,Gearbox Failure,46.0,Unscheduled,Plant B,TX-100,Night,2025-04-25,4,30.5,1.88,2855.54,1251
MCH025,2025-05-13,168,156.16,92.95,Electrical Fault,11.84,Emergency,Plant A,TX-100,Night,2025-03-26,4,39.04,1.48,3156.07,2203
MCH026,2025-05-13,168,141.94,84.49,N/A,26.06,Emergency,Plant A,TX-300,Night,2025-04-06,8,17.74,2.76,3264.34,1712
MCH027,2025-05-13,168,133.97,79.74,Operator Delay,34.03,Unscheduled,Plant B,TX-300,Evening,2025-04-27,4,33.49,1.22,2879.61,1959
MCH028,2025-05-13,168,132.18,78.68,Preventive Maintenance,35.82,Emergency,Plant B,TX-200,Night,2025-04-25,4,33.04,1.72,2729.65,1787
